room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
9404240,1265,34546002,Shared room,,Las Vegas,,42,10,5.0,16,1.0,,75.0,,2017-05-15 03:41:59.260172,36.120369,-115.212566,0101000020E6100000758F6CAE9ACD5CC0E2395B40680F4240
9397616,1265,34546002,Shared room,,Las Vegas,,42,37,5.0,16,1.0,,75.0,,2017-05-15 03:41:57.471462,36.120062,-115.211157,0101000020E61000009354A69883CD5CC005BF0D315E0F4240
4563396,1265,23655849,Shared room,,Las Vegas,,1,0,0.0,4,1.0,,190.0,,2017-05-15 03:41:50.263753,36.309582,-115.192036,0101000020E6100000E6E95C514ACC5CC013B70A62A0274240
16056678,1265,102765156,Shared room,,Las Vegas,,16,11,4.5,6,1.0,,75.0,,2017-05-15 03:41:42.155289,36.14459,-115.170421,0101000020E61000004E637B2DE8CA5CC011AAD4EC81124240
9397067,1265,34546002,Shared room,,Las Vegas,,42,8,5.0,16,1.0,,50.0,,2017-05-15 03:41:40.535948,36.121733,-115.212425,0101000020E610000094F6065F98CD5CC007EC6AF2940F4240
9407426,1265,34546002,Shared room,,Las Vegas,,42,9,5.0,16,1.0,,50.0,,2017-05-15 03:41:39.186501,36.121919,-115.21285,0101000020E6100000083D9B559FCD5CC069E1B20A9B0F4240
9392039,1265,34546002,Shared room,,Las Vegas,,42,7,4.5,10,1.0,,50.0,,2017-05-15 03:41:39.182256,36.1201,-115.21235,0101000020E61000008F53742497CD5CC0F31FD26F5F0F4240
17885915,1265,122467296,Shared room,,Las Vegas,,14,0,0.0,2,1.0,,54.0,,2017-05-15 03:41:39.132874,36.134251,-115.080258,0101000020E6100000834F73F222C55CC0473A03232F114240
2510300,1265,2269240,Shared room,,Las Vegas,,9,33,4.5,2,1.0,,43.0,,2017-05-15 03:41:39.116109,36.111158,-115.283337,0101000020E6100000CB2F833122D25CC02A58E36C3A0E4240
9390636,1265,34546002,Shared room,,Las Vegas,,42,20,5.0,16,1.0,,50.0,,2017-05-15 03:41:37.414744,36.12204,-115.212809,0101000020E6100000D8D2A3A99ECD5CC0E466B8019F0F4240
9368773,1265,34546002,Shared room,,Las Vegas,,42,37,5.0,16,1.0,,50.0,,2017-05-15 03:41:37.391753,36.12003,-115.212203,0101000020E61000003D47E4BB94CD5CC0FA449E245D0F4240
13411378,1265,76379671,Shared room,,Las Vegas,,4,14,4.5,2,1.0,,49.0,,2017-05-15 03:41:37.389371,36.286674,-115.292645,0101000020E6100000A01518B2BAD25CC0874ECFBBB1244240
15769278,1265,38411820,Shared room,,Las Vegas,,21,40,5.0,2,1.0,,50.0,,2017-05-15 03:41:37.377354,36.047448,-115.118538,0101000020E61000005455682096C75CC05C21ACC612064240
16869255,1265,112414908,Shared room,,Las Vegas,,15,2,0.0,2,1.0,,37.0,,2017-05-15 03:41:35.450273,36.141548,-115.127965,0101000020E610000017821C9430C85CC03868AF3E1E124240
13606138,1265,77835291,Shared room,,Las Vegas,,42,4,4.5,2,1.0,,20.0,,2017-05-15 03:41:35.431958,36.103717,-115.253334,0101000020E6100000C03DCF9F36D05CC006854199460D4240
17388410,1265,53183649,Shared room,,Las Vegas,,6,5,3.5,2,1.0,,27.0,,2017-05-15 03:41:35.412658,36.195633,-115.195343,0101000020E61000002920ED7F80CC5CC05A828C800A194240
7903704,1265,22372667,Shared room,,Las Vegas,,35,21,4.5,3,1.0,,26.0,,2017-05-15 03:41:33.683832,36.013268,-115.288287,0101000020E61000002A37514B73D25CC0AA0A0DC4B2014240
13916217,1265,29112012,Shared room,,Las Vegas,,15,0,0.0,2,1.0,,36.0,,2017-05-15 03:41:33.661712,36.130507,-115.117756,0101000020E6100000193A765089C75CC015731074B4104240
14383634,1265,9370403,Shared room,,Las Vegas,,8,2,0.0,2,1.0,,20.0,,2017-05-15 03:41:33.633730,36.090448,-115.231315,0101000020E6100000C0046EDDCDCE5CC08BFED0CC930B4240
15181581,1265,96246562,Shared room,,Las Vegas,,12,0,0.0,1,1.0,,500.0,,2017-05-15 03:41:32.427261,36.119486,-115.031688,0101000020E61000003EEB1A2D07C25CC0392A37514B0F4240
16663595,1265,110188739,Shared room,,Las Vegas,,41,0,0.0,4,1.0,,300.0,,2017-05-15 03:41:31.218559,36.008581,-115.17627,0101000020E61000000551F70148CB5CC0F92EA52E19014240
15205133,1265,96574620,Shared room,,Las Vegas,,12,0,0.0,1,1.0,,200.0,,2017-05-15 03:41:29.657999,36.116866,-115.03526,0101000020E6100000D8B628B341C25CC0D6011077F50E4240
15203349,1265,96557234,Shared room,,Las Vegas,,12,0,0.0,1,1.0,,200.0,,2017-05-15 03:41:29.643080,36.119603,-115.037537,0101000020E6100000F5D8960167C25CC072C0AE264F0F4240
16694521,1265,74264217,Shared room,,Las Vegas,,16,0,0.0,2,1.0,,150.0,,2017-05-15 03:41:28.621014,36.110456,-115.172041,0101000020E61000008D2441B802CB5CC0D0D2156C230E4240
15632830,1265,100804146,Shared room,,Las Vegas,,12,0,0.0,1,1.0,,150.0,,2017-05-15 03:41:28.581343,36.142653,-115.02466,0101000020E61000003D61890794C15CC091D6187442124240
6799574,1265,33240420,Shared room,,Las Vegas,,37,2,0.0,4,1.0,,134.0,,2017-05-15 03:41:26.922523,36.19845,-115.299092,0101000020E6100000B29FC55224D35CC013F241CF66194240
15302911,1265,97452137,Shared room,,Las Vegas,,17,0,0.0,1,1.0,,120.0,,2017-05-15 03:41:25.497924,36.269649,-115.100769,0101000020E6100000D7DCD1FF72C65CC01633C2DB83224240
15545026,1265,100027314,Shared room,,Las Vegas,,1,0,0.0,1,1.0,,100.0,,2017-05-15 03:41:24.047642,36.250147,-115.16773,0101000020E6100000B8239C16BCCA5CC0A41820D104204240
15804541,1265,91908004,Shared room,,Las Vegas,,34,1,0.0,3,1.0,,85.0,,2017-05-15 03:41:24.044872,36.192041,-115.312235,0101000020E6100000A96A82A8FBD35CC0DE3EABCC94184240
15482355,1265,99399955,Shared room,,Las Vegas,,41,0,0.0,1,1.0,,100.0,,2017-05-15 03:41:24.042163,36.016346,-115.176456,0101000020E6100000B64B1B0E4BCB5CC0D0B52FA017024240
14592272,1265,89935120,Shared room,,Las Vegas,,29,0,0.0,4,1.0,,100.0,,2017-05-15 03:41:24.035433,36.050009,-115.029375,0101000020E61000007B14AE47E1C15CC0BAC0E5B166064240
16367962,1265,106857608,Shared room,,Las Vegas,,15,0,0.0,10,1.0,,99.0,,2017-05-15 03:41:24.027059,36.117386,-115.079696,0101000020E6100000CF6740BD19C55CC00F812381060F4240
6211069,1265,32204467,Shared room,,Las Vegas,,41,0,0.0,6,1.0,,90.0,,2017-05-15 03:41:23.992181,36.025213,-115.160295,0101000020E610000097ADF54542CA5CC08F37F92D3A034240
6897021,1265,36139929,Shared room,,Las Vegas,,42,0,0.0,1,1.0,,100.0,,2017-05-15 03:41:23.988376,36.115038,-115.27679,0101000020E6100000087767EDB6D15CC00CE6AF90B90E4240
12054897,1265,64560475,Shared room,,Las Vegas,,1,1,0.0,2,1.0,,85.0,,2017-05-15 03:41:23.985144,36.254818,-115.198187,0101000020E610000083DF8618AFCC5CC0503750E09D204240
16284104,1265,7855878,Shared room,,Las Vegas,,42,0,0.0,6,1.0,,100.0,,2017-05-15 03:41:23.982309,36.100732,-115.218997,0101000020E6100000043BFE0B04CE5CC091D442C9E40C4240
13587662,1265,34392625,Shared room,,Las Vegas,,42,3,5.0,1,1.0,,89.0,,2017-05-15 03:41:23.948747,36.12369,-115.23529,0101000020E6100000DBC4C9FD0ECF5CC0CF6BEC12D50F4240
12232393,1265,65819671,Shared room,,Las Vegas,,35,33,5.0,12,1.0,,100.0,,2017-05-15 03:41:23.903349,36.039952,-115.238606,0101000020E610000048A8195245CF5CC074B4AA251D054240
14388209,1265,13759047,Shared room,,Las Vegas,,15,4,4.5,3,1.0,,62.0,,2017-05-15 03:41:22.377793,36.131357,-115.117619,0101000020E6100000D998D71187C75CC0E38C614ED0104240
10685918,1265,1845423,Shared room,,Las Vegas,,42,0,0.0,1,1.0,,80.0,,2017-05-15 03:41:22.375036,36.116814,-115.185324,0101000020E61000007DCA3159DCCB5CC083DBDAC2F30E4240
13656656,1265,3988027,Shared room,,Las Vegas,,20,18,5.0,2,1.0,,69.0,,2017-05-15 03:41:22.372680,36.109733,-115.136706,0101000020E6100000B0CA85CABFC85CC05F251FBB0B0E4240
18558198,1265,93382385,Shared room,,Las Vegas,,16,0,0.0,2,1.0,,65.0,,2017-05-15 03:41:22.370375,36.105617,-115.158747,0101000020E6100000A4552DE928CA5CC069739CDB840D4240
15423775,1265,98855466,Shared room,,Las Vegas,,2,0,0.0,1,1.0,,70.0,,2017-05-15 03:41:22.366992,36.124368,-115.325204,0101000020E6100000D1217024D0D45CC09F55664AEB0F4240
10207902,1265,9815622,Shared room,,Las Vegas,,41,0,0.0,1,1.0,,50.0,,2017-05-15 03:41:19.576205,36.034398,-115.172706,0101000020E6100000AC74779D0DCB5CC01F86562767044240
10001478,1265,14293512,Shared room,,Las Vegas,,42,3,4.5,3,1.0,,55.0,,2017-05-15 03:41:19.562835,36.113318,-115.232592,0101000020E6100000EB538EC9E2CE5CC029064834810E4240
14417293,1265,62931418,Shared room,,Las Vegas,,20,3,5.0,6,1.0,,45.0,,2017-05-15 03:41:19.549914,36.106029,-115.102025,0101000020E6100000F697DD9387C65CC0BBB6B75B920D4240
9880530,1265,27623686,Shared room,,Las Vegas,,42,0,0.0,2,1.0,,44.0,,2017-05-15 03:41:19.546442,36.11178,-115.187808,0101000020E6100000577BD80B05CC5CC0672C9ACE4E0E4240
16102159,1265,104816420,Shared room,,Las Vegas,,17,3,5.0,2,1.0,,55.0,,2017-05-15 03:41:19.536183,36.253954,-115.123082,0101000020E61000007B2E5393E0C75CC01D588E9081204240
16535072,1265,104279103,Shared room,,Las Vegas,,41,3,5.0,1,1.0,,57.0,,2017-05-15 03:41:19.531566,36.021636,-115.178975,0101000020E61000004DF38E5374CB5CC04835ECF7C4024240
17826274,1265,120539862,Shared room,,Las Vegas,,42,0,0.0,2,1.0,,45.0,,2017-05-15 03:41:19.521266,36.108627,-115.21042,0101000020E6100000289B728577CD5CC0363B527DE70D4240
9261495,1265,13759047,Shared room,,Las Vegas,,16,7,4.5,3,1.0,,46.0,,2017-05-15 03:41:19.473094,36.130998,-115.119813,0101000020E6100000AE282504ABC75CC0B3EBDE8AC4104240
17659516,1265,120182701,Shared room,,Las Vegas,,15,0,0.0,3,1.0,,52.0,,2017-05-15 03:41:19.456797,36.146666,-115.108679,0101000020E6100000C4B0C398F4C65CC0B3B794F3C5124240
18462062,1265,101006951,Shared room,,Las Vegas,,10,0,0.0,2,1.0,,50.0,,2017-05-15 03:41:19.454356,36.16227,-115.204055,0101000020E610000075E5B33C0FCD5CC09B8F6B43C5144240
13508706,1265,33280346,Shared room,,Las Vegas,,16,5,4.5,1,1.0,,49.0,,2017-05-15 03:41:19.451692,36.134113,-115.158612,0101000020E61000003430F2B226CA5CC0F67B629D2A114240
13569540,1265,34392625,Shared room,,Las Vegas,,10,2,0.0,1,1.0,,59.0,,2017-05-15 03:41:19.448255,36.141147,-115.202511,0101000020E61000002385B2F0F5CC5CC0D976DA1A11124240
16529864,1265,108709265,Shared room,,Las Vegas,,22,0,0.0,2,1.0,,45.0,,2017-05-15 03:41:19.445520,35.984503,-114.986771,0101000020E61000000A698D4127BF5CC02DE8BD3104FE4140
3655788,1265,65101,Shared room,,Las Vegas,,42,61,5.0,1,1.0,,45.0,,2017-05-15 03:41:19.407844,36.116621,-115.201756,0101000020E61000006571FF91E9CC5CC06F83DA6FED0E4240
