room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4563396,23655849,Shared room,,1,0,0.0,4,1.0,190.0,,36.309582,-115.192036,2017-03-11 00:45:58.058163
16394336,34546002,Shared room,,42,0,0.0,16,1.0,120.0,,36.12153,-115.210989,2017-03-11 00:45:54.963117
16403062,34546002,Shared room,,42,0,0.0,16,1.0,120.0,,36.120354,-115.212437,2017-03-11 00:45:54.960525
16403294,34546002,Shared room,,42,0,0.0,16,1.0,120.0,,36.119845,-115.211302,2017-03-11 00:45:54.958018
17614391,119744833,Shared room,,29,0,0.0,3,1.0,106.0,,36.052054,-115.078499,2017-03-11 00:45:54.941565
15206102,96523973,Shared room,,16,2,0.0,5,1.0,49.0,,36.121808,-115.142747,2017-03-11 00:45:49.897700
14283488,13759047,Shared room,,16,9,4.5,8,1.0,44.0,,36.131994,-115.11919,2017-03-11 00:45:49.895218
12908445,68146636,Shared room,,20,1,0.0,2,1.0,44.0,,36.075577,-115.074021,2017-03-11 00:45:49.887541
9392241,34546002,Shared room,,42,7,5.0,16,1.0,50.0,,36.121649,-115.211091,2017-03-11 00:45:49.884742
2510300,2269240,Shared room,,9,33,4.5,2,1.0,43.0,,36.111158,-115.283337,2017-03-11 00:45:48.395399
9397616,34546002,Shared room,,42,35,5.0,16,1.0,50.0,,36.120062,-115.211157,2017-03-11 00:45:48.391285
17014191,113482723,Shared room,,16,0,0.0,2,1.0,37.0,,36.145593,-115.16257,2017-03-11 00:45:46.757745
7094198,21664885,Shared room,,16,58,4.5,2,1.0,30.0,,36.120704,-115.150739,2017-03-11 00:45:45.250051
13110859,48080639,Shared room,,8,40,5.0,2,1.0,30.0,,36.086505,-115.220383,2017-03-11 00:45:45.247919
15635911,9370403,Shared room,,8,7,4.0,2,1.0,10.0,,36.093314,-115.232078,2017-03-11 00:45:45.242706
15272329,43529778,Shared room,,16,3,5.0,2,1.0,10.0,,36.136333,-115.134347,2017-03-11 00:45:45.240247
16742063,27073229,Shared room,,16,5,5.0,2,1.0,26.0,,36.122003,-115.141361,2017-03-11 00:45:45.236597
9391111,34546002,Shared room,,42,4,5.0,16,1.0,25.0,,36.121507,-115.212142,2017-03-11 00:45:32.259889
9392039,34546002,Shared room,,42,6,4.5,10,1.0,25.0,,36.1201,-115.21235,2017-03-11 00:45:32.252277
9391140,34546002,Shared room,,42,16,5.0,16,1.0,25.0,,36.121523,-115.210932,2017-03-11 00:45:32.249337
16811447,92787620,Shared room,,2,0,0.0,1,1.0,30.0,,36.147945,-115.304412,2017-03-11 00:45:31.187320
16401447,34546002,Shared room,,42,0,0.0,16,1.0,20.0,,36.120456,-115.212433,2017-03-11 00:45:31.184939
14339970,29112012,Shared room,,16,3,4.5,8,1.0,21.0,,36.128082,-115.118774,2017-03-11 00:45:31.182657
13851091,28081475,Shared room,,41,0,0.0,2,1.0,22.0,,35.978526,-115.158708,2017-03-11 00:45:31.180582
14339294,29112012,Shared room,,16,0,0.0,1,1.0,21.0,,36.127562,-115.11973,2017-03-11 00:45:31.178513
236170,1238040,Shared room,,16,75,4.5,16,1.0,25.0,,36.155506,-115.148641,2017-03-11 00:45:31.176316
16403303,34546002,Shared room,,42,0,0.0,16,1.0,20.0,,36.120034,-115.211338,2017-03-11 00:45:31.174105
16403277,34546002,Shared room,,42,0,0.0,16,1.0,20.0,,36.121207,-115.212498,2017-03-11 00:45:31.171640
14029590,13759047,Shared room,,16,28,4.5,8,1.0,21.0,,36.129862,-115.124527,2017-03-11 00:45:31.169153
9404240,34546002,Shared room,,42,8,5.0,16,1.0,25.0,,36.120369,-115.212566,2017-03-11 00:45:31.166108
