room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
4563396,1390,23655849,Shared room,,Las Vegas,,1,0,0.0,4,1.0,,190.0,,2017-06-24 21:22:30.445390,36.309582,-115.192036,0101000020E6100000E6E95C514ACC5CC013B70A62A0274240
18885811,1390,131603148,Shared room,,Las Vegas,,1,0,0.0,2,1.0,,120.0,,2017-06-24 21:22:11.072914,36.313088,-115.207892,0101000020E610000067463F1A4ECD5CC09162804413284240
9391696,1390,34546002,Shared room,,Las Vegas,,42,10,5.0,16,1.0,,50.0,,2017-06-24 21:22:05.078741,36.120967,-115.212172,0101000020E61000001F48DE3994CD5CC09772BED87B0F4240
9391140,1390,34546002,Shared room,,Las Vegas,,42,19,5.0,16,1.0,,50.0,,2017-06-24 21:22:05.067444,36.121523,-115.210932,0101000020E6100000836BEEE87FCD5CC01D5BCF108E0F4240
9392039,1390,34546002,Shared room,,Las Vegas,,42,7,4.5,10,1.0,,50.0,,2017-06-24 21:22:05.062372,36.1201,-115.21235,0101000020E61000008F53742497CD5CC0F31FD26F5F0F4240
13564672,1390,33280346,Shared room,,Las Vegas,,16,1,0.0,2,1.0,,35.0,,2017-06-24 21:22:01.718663,36.132927,-115.159867,0101000020E61000006B2DCC423BCA5CC0B1E07EC003114240
15604838,1390,37722860,Shared room,,Las Vegas,,41,1,0.0,2,1.0,,25.0,,2017-06-24 21:22:01.711882,36.002859,-115.210449,0101000020E6100000751E15FF77CD5CC0E8BF07AF5D004240
13066456,1390,36357506,Shared room,,Las Vegas,,10,11,4.5,16,1.0,,20.0,,2017-06-24 21:22:01.708723,36.142779,-115.186881,0101000020E61000009ACFB9DBF5CB5CC01DC70F9546124240
9849544,1390,48824451,Shared room,,Las Vegas,,16,36,4.5,3,1.0,,30.0,,2017-06-24 21:22:01.705819,36.124849,-115.140903,0101000020E6100000213A048E04C95CC01AF8510DFB0F4240
13112927,1390,48080639,Shared room,,Las Vegas,,8,28,4.5,2,1.0,,36.0,,2017-06-24 21:22:00.147700,36.085341,-115.21989,0101000020E6100000EBAD81AD12CE5CC004013274EC0A4240
10263413,1390,32877529,Shared room,,Las Vegas,,5,35,5.0,2,1.0,,40.0,,2017-06-24 21:22:00.143545,36.164822,-115.243148,0101000020E61000009F05A1BC8FCF5CC0A6D425E318154240
12587001,1390,13759047,Shared room,,Las Vegas,,16,3,4.5,2,1.0,,33.0,,2017-06-24 21:22:00.139223,36.128699,-115.139002,0101000020E61000000805A568E5C85CC09203763579104240
